appraisal_id,drug_name,indication,severity_modifier,end_of_life,list_price_gbp,threshold_gbp,eag_disagreement_ord,comparator_type,comparator_is_chemo,outcome_label,outcome_binary,icer_base_gbp_approx,icer_pas_gbp,pas_type,notes,era,date_verified,outcome_3cat,uplift_applied
TA992,Trastuzumab deruxtecan (T-DXd),HER2-low metastatic/unresectable breast cancer,1.2,0,1455,30000,2,Chemotherapy (TPC),1,0 - Not recommended (routine),0,Considerably above 30000,n/a,n/a,"ICER considerably above GBP30,000; severity modifier applied but insufficient",post_2022_severity,False,not_recommended,applied_insufficient
TA371,Trastuzumab emtansine,HER2+ metastatic breast cancer (pre-CDF),n/a (pre-2022 EoL era),1,1641/2625,30000,2,Lapatinib+capecitabine (trastuzumab+capecitabine and trastuzumab+vinorelbine dominated),0,0 - Not recommended,0,167200 (company) / 166400 (ERG),Still too high - PAS did not bring ICER to acceptable level,complex (first PAS),EoL criteria met but ICER remained well above acceptable range even with weighting and PAS. Appeal upheld on process; negative recommendation maintained,pre_2022_classic_eol,False,not_recommended,applied_insufficient
TA458,Trastuzumab emtansine,HER2+ metastatic breast cancer (CDF reconsideration of TA371),n/a (pre-2022 EoL era),1,1641/2625,30000,1,Trastuzumab+capecitabine (comparator changed - lapatinib+capecitabine exited CDF),0,1 - Recommended (EoL),1,166400-167200 (inherited from TA371),Within normally cost-effective range under EoL weighting,complex PAS (later replaced by commercial access agreement),"CDF reconsideration: comparator changed, new complex PAS submitted, most plausible ICER judged acceptable under EoL criteria",pre_2022_classic_eol,False,recommended,applied_decisive
TA632,Trastuzumab emtansine (Kadcyla),HER2+ early breast cancer adjuvant - residual invasive disease after neoadjuvant taxane + HER2-targeted therapy,n/a (pre-2022 EoL era - not discussed; adjuvant/curative setting),0,1641.01/vial (100mg) / 2625.62/vial (160mg),Not stated in source,0,Trastuzumab (node-negative pop.) / pertuzumab+trastuzumab+chemo (node-positive pop.),Mixed by subgroup,1 - Recommended,1,Node-negative vs trastuzumab: 8829; Node-positive vs pertuzumab+trastuzumab+chemo: 4955,ITT supportive: node-negative 5985 (co)/7213 (ERG); node-positive 8203 (co)/6388 (ERG),Simple discount PAS,April 2020. KATHERINE trial (n=1486) primary evidence; indirect comparison vs APHINITY,pre_2022_classic_eol,True,recommended,not_applicable
NICE_TA704,Trastuzumab deruxtecan (T-DXd),HER2+ unresectable/metastatic breast cancer after >=2 anti-HER2 therapies,n/a (pre-2022 EoL era),1,Not stated (117857 was course cost not ICER),30000,2,Capecitabine / vinorelbine / eribulin,1,cdf_managed_access,n/a,47230 (company base with confidential discount),Up to 78142 (ERG scenarios),Simple discount (commercial arrangement),High EAG disagreement - fundamental uncertainty on OS modelling,pre_2022_classic_eol,True,cdf_managed_access,applied_decisive
NICE_TA786,Tucatinib + trastuzumab + capecitabine,HER2+ advanced breast cancer after >=2 anti-HER2 therapies,n/a (era not classified as severity),1,Not stated,30000,1,Capecitabine / vinorelbine / eribulin,1,1 - Recommended,1,Confidential,Confidential (within range),Simple discount PAS,"Recommended for routine use, not CDF (corrected from earlier misclassification)",post_2022_severity,True,recommended,applied_decisive
NICE_TA862,Trastuzumab deruxtecan (Enhertu),HER2-low metastatic/unresectable breast cancer after chemotherapy,1.2 (applied in some scenarios; not convincingly met),0,1455,30000,1,Chemotherapy (TPC),1,cdf_managed_access,n/a,Commercial in confidence,Commercial in confidence,Managed access agreement (CDF),Severity modifier not convincingly met but applied in some scenarios; EoL not separately invoked,post_2022_severity,False,cdf_managed_access,applied_decisive
TA257_lap,Lapatinib + aromatase inhibitor (letrozole in model),First-line metastatic HR+/HER2-overexpressing breast cancer postmenopausal women,n/a (pre-2022 era),0,~965.16/pack; lifetime ~28212,30000,2,Aromatase inhibitor alone,0,0 - Not recommended,0,~74000 (committee best estimate),n/a - no PAS,Not applicable,Post-appeal FAD (2012). Mfr base case 74448; Assessment Group >225000,pre_2022_classic_eol,True,not_recommended,applied_insufficient
TA257_tras,Trastuzumab + aromatase inhibitor (anastrozole in model),First-line metastatic HR+/HER2-overexpressing breast cancer postmenopausal women,n/a (pre-2022 era),0,~407.40/vial; lifetime ~26018-26832,30000,2,Aromatase inhibitor alone,0,0 - Not recommended,0,>=51000 (committee estimate),n/a - no PAS,Not applicable,"Post-appeal FAD (2012). Mfr base case 54312, revised 50975; AG revised 69514",pre_2022_classic_eol,True,not_recommended,applied_insufficient
TA424,Pertuzumab + trastuzumab + chemotherapy,HER2+ locally advanced/inflammatory/early-stage breast cancer high recurrence risk (neoadjuvant),n/a (pre-2022 EoL era),0,Not stated,30000,0,Trastuzumab + docetaxel,0,1 - Recommended,1,23467 (ERG base case 4 cycles no PAS),Confidential (PAS-adjusted),Simple discount PAS,42955 was a 6-cycle sensitivity analysis not base case; EoL n/a (curative intent),pre_2022_classic_eol,True,recommended,not_applicable
TA509,Pertuzumab + trastuzumab + docetaxel,HER2+ metastatic/locally recurrent unresectable breast cancer first-line,n/a (pre-2022 EoL era),1,Not stated (4790 was dose cost not ICER),30000,0,Trastuzumab + docetaxel,0,1 - Recommended,1,Above 30000 (company base case),Confidential,Commercial access arrangement,Recommended for routine commissioning after CDF transition,pre_2022_classic_eol,True,recommended,applied_decisive
NICE_TA569,Pertuzumab + trastuzumab + docetaxel/carboplatin,HER2+ early breast cancer lymph-node-positive (adjuvant),n/a (pre-2022 EoL era),0,2395 (unclear which drug),20000,0,Not stated,Not stated,1 - Recommended,1,Not disclosed,Not disclosed,Not stated,Curative intent - EoL not applicable,pre_2022_classic_eol,False,recommended,not_applicable
NICE_TA612,Neratinib (Nerlynx),HR+/HER2+ early breast cancer extended adjuvant (post trastuzumab),n/a (pre-2022 EoL era),0,4500,20000,0,Not stated,Not stated,1 - Recommended,1,Confidential,Confidential,Commercial Access Agreement (CAP),Adjuvant - EoL not applicable,pre_2022_classic_eol,False,recommended,not_applicable
